episode,reward,length,epsilon,moving_avg_reward,moving_avg_length
0,240.0,99,1.0,240.0,99.0
1,180.0,99,0.9901493354116763,210.0,99.0
2,60.0,99,0.9803966865736877,160.0,99.0
3,230.0,99,0.970741078213023,177.5,99.0
4,160.0,99,0.9611815447608,174.0,99.0
5,220.0,99,0.9517171302557069,181.66666666666666,99.0
6,120.0,99,0.9423468882484062,172.85714285714286,99.0
7,120.0,99,0.9330698817068886,166.25,99.0
8,90.0,99,0.9238851829227694,157.77777777777777,99.0
9,60.0,99,0.9147918734185159,148.0,99.0
10,180.0,99,0.9057890438555999,150.9090909090909,99.0
11,60.0,99,0.896875793943563,143.33333333333334,99.0
12,60.0,99,0.888051232349986,136.92307692307693,99.0
13,150.0,99,0.8793144766113556,137.85714285714286,99.0
14,60.0,99,0.8706646530448178,132.66666666666666,99.0
15,60.0,99,0.8621008966608072,128.125,99.0
16,90.0,99,0.8536223510765493,125.88235294117646,99.0
17,90.0,99,0.8452281684304199,123.88888888888889,99.0
18,150.0,99,0.8369175092971592,125.26315789473684,99.0
19,40.0,99,0.8286895426039287,121.0,99.0
20,150.0,99,0.820543445547202,122.38095238095238,99.0
21,110.0,99,0.8124784035104852,121.81818181818181,99.0
22,60.0,99,0.8044936099828537,119.1304347826087,99.0
23,90.0,99,0.7965882664783007,117.91666666666667,99.0
24,280.0,99,0.7887615824558878,124.4,99.0
25,180.0,99,0.7810127752406908,126.53846153846153,99.0
26,90.0,99,0.7733410699455306,125.18518518518519,99.0
27,270.0,99,0.7657456993934846,130.35714285714286,99.0
28,120.0,99,0.7582259040411682,130.0,99.0
29,30.0,99,0.7507809319027796,126.66666666666667,99.0
30,150.0,99,0.7434100384749007,127.41935483870968,99.0
31,60.0,99,0.7361124866620463,125.3125,99.0
32,50.0,99,0.7288875467029541,123.03030303030303,99.0
33,90.0,99,0.7217344960976069,122.05882352941177,99.0
34,150.0,99,0.7146526195349836,122.85714285714286,99.0
35,90.0,99,0.7076412088215263,121.94444444444444,99.0
36,60.0,99,0.7006995628103208,120.27027027027027,99.0
37,60.0,99,0.6938269873309811,118.6842105263158,99.0
38,120.0,99,0.6870227951202322,118.71794871794872,99.0
39,90.0,99,0.680286305753183,118.0,99.0
40,150.0,99,0.6736168455752829,118.78048780487805,99.0
41,60.0,99,0.6670137476349562,117.38095238095238,99.0
42,120.0,99,0.6604763516169062,117.44186046511628,99.0
43,150.0,99,0.6540040037760834,118.18181818181819,99.0
44,90.0,99,0.6475960568723099,117.55555555555556,99.0
45,60.0,99,0.6412518701055556,116.30434782608695,99.0
46,60.0,99,0.6349708090518567,115.1063829787234,99.0
47,60.0,99,0.6287522455998737,113.95833333333333,99.0
48,90.0,99,0.6225955578880794,113.46938775510205,99.0
49,60.0,99,0.616500130242572,112.4,99.0
50,90.0,99,0.6104653531155071,111.96078431372548,99.0
51,60.0,99,0.6044906230241432,110.96153846153847,99.0
52,60.0,99,0.5985753424904924,110.0,99.0
53,90.0,99,0.5927189199815717,109.62962962962963,99.0
