episode,reward,length,epsilon,moving_avg_reward,moving_avg_length
98,90.0,99,0.616500130242572,99.8989898989899,99.0
99,90.0,99,0.6134751982233462,99.8,99.0
100,0.0,99,0.6104653531155071,97.6,99.0
101,30.0,99,0.6074705196727701,96.5,99.0
102,30.0,99,0.6044906230241432,95.6,99.0
103,0.0,99,0.6015255886720551,94.1,99.0
104,120.0,99,0.5985753424904924,94.1,99.0
105,90.0,99,0.595639810723147,93.3,99.0
106,150.0,99,0.5927189199815717,93.9,99.0
107,60.0,99,0.5898125972433458,94.5,99.0
108,60.0,99,0.5869207698502498,93.9,99.0
109,190.0,99,0.5840433655064479,95.5,99.0
110,140.0,99,0.5811803122766818,94.0,99.0
111,90.0,99,0.5783315385844716,92.2,99.0
112,70.0,99,0.5754969732103268,90.8,99.0
113,90.0,99,0.572676545289965,90.2,99.0
114,100.0,99,0.5698701843125418,89.7,99.0
115,90.0,99,0.5670778201188862,89.4,99.0
116,90.0,99,0.564299382899748,89.4,99.0
117,90.0,99,0.5615348031940521,89.4,99.0
118,210.0,99,0.558784011887162,91.5,99.0
119,230.0,99,0.5560469402091515,93.2,99.0
120,260.0,99,0.5533235197330861,93.6,99.0
121,120.0,99,0.5506136823733123,94.2,99.0
122,30.0,99,0.5479173603837548,92.7,99.0
123,30.0,99,0.5452344863562234,91.5,99.0
124,120.0,99,0.5425649932187278,90.6,99.0
125,150.0,99,0.5399088142338003,91.8,99.0
126,150.0,99,0.5372658829968282,92.1,99.0
127,90.0,99,0.5346361334343928,91.5,99.0
128,90.0,99,0.5320194998026181,91.4,99.0
129,0.0,99,0.529415916685527,90.2,99.0
130,60.0,99,0.5268253189934059,89.6,99.0
131,150.0,99,0.5242476419611777,90.5,99.0
132,180.0,99,0.5216828211467822,91.7,99.0
133,150.0,99,0.5191307924295656,91.1,99.0
134,180.0,99,0.516591492008677,92.3,99.0
135,40.0,99,0.5140648564014737,91.5,99.0
136,150.0,99,0.5115508224419336,92.4,99.0
137,90.0,99,0.5090493272790773,92.1,99.0
138,120.0,99,0.5065603083753949,91.2,99.0
139,90.0,99,0.5040837035052845,91.4,99.0
140,120.0,99,0.5016194507534953,91.7,99.0
141,60.0,99,0.4991674885135803,91.7,99.0
142,30.0,99,0.49672775548635545,90.5,99.0
143,60.0,99,0.4943001906783682,90.8,99.0
144,230.0,99,0.491884733400372,92.8,99.0
145,90.0,99,0.48948132326580884,93.4,99.0
146,60.0,99,0.48708990018930043,93.1,99.0
147,120.0,99,0.4847104043851452,92.8,99.0
148,120.0,99,0.48234277636582407,94.0,99.0
149,90.0,99,0.4799869569405133,94.0,99.0
150,0.0,99,0.47764288721360454,93.4,99.0
151,180.0,99,0.4753105085832326,94.3,99.0
152,90.0,99,0.47298976273981014,94.0,99.0
153,90.0,99,0.4706805916645702,94.0,99.0
154,150.0,99,0.4683829376281158,94.9,99.0
155,120.0,99,0.46609674318897615,94.3,99.0
156,60.0,99,0.4638219511921713,93.4,99.0
157,60.0,99,0.4615585047677828,93.4,99.0
158,60.0,99,0.45930634732953224,92.5,99.0
159,90.0,99,0.4570654225733663,92.2,99.0
160,60.0,99,0.45483567447604933,92.2,99.0
161,60.0,99,0.45261704729376284,92.2,99.0
162,60.0,99,0.4504094855607117,91.4,99.0
163,60.0,99,0.4482129340877376,91.7,99.0
164,120.0,99,0.44602733796093924,90.9,99.0
165,60.0,99,0.4438526425402997,90.8,99.0
166,120.0,99,0.4416887934583202,90.8,99.0
167,190.0,99,0.439535736618661,91.5,99.0
168,60.0,99,0.43739341819478894,91.5,99.0
169,60.0,99,0.43526178462863174,91.2,99.0
170,90.0,99,0.4331407826292394,92.1,99.0
171,30.0,99,0.4310303591714514,92.0,99.0
172,90.0,99,0.4289304614945713,92.3,99.0
173,90.0,99,0.426841037101048,92.9,99.0
174,60.0,99,0.42476203375516264,92.6,99.0
175,120.0,99,0.4226933994817233,93.2,99.0
176,130.0,99,0.42063508256476556,94.2,99.0
177,90.0,99,0.41858703154625915,94.2,99.0
178,60.0,99,0.41654919522482203,94.2,99.0
179,90.0,99,0.41452152265444,94.2,99.0
180,150.0,99,0.4125039631431931,95.1,99.0
181,90.0,99,0.4104964662519886,95.4,99.0
182,90.0,99,0.40849898179329963,96.0,99.0
183,180.0,99,0.4065114598299106,96.9,99.0
184,60.0,99,0.404533850673669,96.6,99.0
185,90.0,99,0.40256610488424294,96.6,99.0
186,90.0,99,0.40060817326788506,97.2,99.0
187,120.0,99,0.3986600068762032,98.1,99.0
188,90.0,99,0.3967215570049359,98.0,99.0
189,0.0,99,0.3947927751927355,97.2,99.0
190,120.0,99,0.3928736132199562,97.2,99.0
191,60.0,99,0.39096402310744877,97.5,99.0
192,150.0,99,0.3890639571153609,98.0,99.0
193,60.0,99,0.3871733677419439,97.4,99.0
194,90.0,99,0.38529220772236483,98.0,99.0
195,90.0,99,0.3834204300275254,98.0,99.0
196,90.0,99,0.38155798786288553,97.4,99.0
197,60.0,99,0.3797048346672943,96.2,99.0
198,120.0,99,0.37786092411182526,96.5,99.0
199,60.0,99,0.3760262100986184,96.2,99.0
200,150.0,99,0.3742006467597279,97.7,99.0
201,90.0,99,0.37238418845597515,98.3,99.0
202,60.0,99,0.3705767897758081,98.6,99.0
203,90.0,99,0.36877840553416535,99.5,99.0
204,90.0,99,0.3669889907713475,99.2,99.0
205,120.0,99,0.3652085007518921,99.5,99.0
206,60.0,99,0.36343689096345594,98.6,99.0
207,90.0,99,0.361674117115702,98.9,99.0
208,60.0,99,0.35992013513919235,98.9,99.0
209,90.0,99,0.3581749011842862,97.9,99.0
210,200.0,99,0.35643837162004377,98.5,99.0
211,90.0,99,0.3547105030331356,98.5,99.0
212,60.0,99,0.3529912522267568,98.4,99.0
213,150.0,99,0.351280576219548,99.0,99.0
214,60.0,99,0.34957843224451957,98.6,99.0
215,60.0,99,0.34788477774798376,98.3,99.0
216,60.0,99,0.34619957038848975,98.0,99.0
217,120.0,99,0.3445227680357659,98.3,99.0
218,120.0,99,0.342854328769666,97.4,99.0
219,60.0,99,0.34119421087912155,95.7,99.0
220,90.0,99,0.3395423728610988,94.0,99.0
221,150.0,99,0.33789877341956115,94.3,99.0
222,90.0,99,0.33626337146443713,94.9,99.0
223,60.0,99,0.3346361261105927,95.2,99.0
224,30.0,99,0.33301699667680906,94.3,99.0
225,140.0,99,0.33140594268476625,94.2,99.0
226,60.0,99,0.3298029238580304,93.3,99.0
227,60.0,99,0.32820790012104745,93.0,99.0
228,60.0,99,0.3266208315981408,92.7,99.0
229,180.0,99,0.32504167861251493,94.5,99.0
230,60.0,99,0.32347040168526264,94.5,99.0
231,60.0,99,0.3219069615343792,93.6,99.0
232,60.0,99,0.3203513190737793,92.4,99.0
233,90.0,99,0.31880343541232026,91.8,99.0
234,90.0,99,0.3172632718528302,90.9,99.0
235,60.0,99,0.3157307898911397,91.1,99.0
236,90.0,99,0.31420595121511996,90.5,99.0
237,160.0,99,0.31268871770372464,91.2,99.0
238,60.0,99,0.311179051426037,90.6,99.0
239,120.0,99,0.30967691464032143,90.9,99.0
240,90.0,99,0.30818226979308005,90.6,99.0
241,60.0,99,0.30669507951811387,90.6,99.0
242,60.0,99,0.3052153066355885,90.9,99.0
243,180.0,99,0.3037429141511048,92.1,99.0
244,120.0,99,0.30227786525477407,91.0,99.0
245,60.0,99,0.30082012332029745,90.7,99.0
246,90.0,99,0.29936965190405085,91.0,99.0
247,60.0,99,0.29792641474417303,90.4,99.0
248,0.0,99,0.29649037575966014,89.2,99.0
249,60.0,99,0.29506149904946255,88.9,99.0
250,90.0,99,0.29363974889158817,89.8,99.0
251,150.0,99,0.292225089742209,89.5,99.0
252,60.0,99,0.2908174862347727,89.2,99.0
253,60.0,99,0.28941690317911806,88.9,99.0
254,90.0,99,0.28802330556059597,88.3,99.0
255,60.0,99,0.28663665853919323,87.7,99.0
256,90.0,99,0.2852569274486622,88.0,99.0
257,90.0,99,0.2838840777956537,88.3,99.0
258,120.0,99,0.2825180752588548,88.9,99.0
259,60.0,99,0.28115888568813113,88.6,99.0
260,60.0,99,0.27980647510367246,88.6,99.0
261,90.0,99,0.2784608096951439,88.9,99.0
262,60.0,99,0.2771218558208399,88.9,99.0
263,120.0,99,0.2757895800068442,89.5,99.0
264,90.0,99,0.27446394894619186,89.2,99.0
265,30.0,99,0.2731449294980373,88.9,99.0
266,60.0,99,0.27183248868682575,88.3,99.0
267,60.0,99,0.2705265937014684,87.0,99.0
268,120.0,99,0.26922721189452276,87.6,99.0
269,90.0,99,0.26793431078137586,87.9,99.0
270,60.0,99,0.2666478580394326,87.6,99.0
271,90.0,99,0.2653678215073074,88.2,99.0
272,90.0,99,0.26409416918402034,88.2,99.0
273,90.0,99,0.2628268692281969,88.2,99.0
274,120.0,99,0.26156588995727226,88.8,99.0
275,60.0,99,0.260311199846699,88.2,99.0
276,90.0,99,0.2590627675291589,87.8,99.0
277,60.0,99,0.25782056179377916,87.5,99.0
278,90.0,99,0.2565845515853515,87.8,99.0
279,60.0,99,0.2553547060035565,87.5,99.0
280,60.0,99,0.2541309943021904,86.6,99.0
281,120.0,99,0.25291338588839707,86.9,99.0
282,60.0,99,0.25170185032190273,86.6,99.0
283,90.0,99,0.250496357314255,85.7,99.0
284,60.0,99,0.24929687672806608,85.7,99.0
285,120.0,99,0.24810337857625872,86.0,99.0
286,90.0,99,0.246915833021317,86.0,99.0
287,60.0,99,0.24573421037454016,85.4,99.0
288,120.0,99,0.24455848109530054,85.7,99.0
289,60.0,99,0.24338861579030488,86.3,99.0
290,90.0,99,0.2422245852128597,86.0,99.0
291,120.0,99,0.24106636026213982,86.6,99.0
292,150.0,99,0.23991391198246126,86.6,99.0
293,60.0,99,0.2387672115625569,86.6,99.0
294,90.0,99,0.2376262303348566,86.6,99.0
295,60.0,99,0.2364909397747702,86.3,99.0
296,60.0,99,0.2353613114999746,86.0,99.0
297,120.0,99,0.23423731726970407,86.6,99.0
298,90.0,99,0.23311892898404435,86.3,99.0
299,100.0,99,0.23200611868322998,86.7,99.0
300,90.0,99,0.23089885854694553,86.1,99.0
301,90.0,99,0.22979712089362989,86.1,99.0
302,60.0,99,0.22870087817978443,86.1,99.0
303,60.0,99,0.22761010299928408,85.8,99.0
304,60.0,99,0.22652476808269262,85.5,99.0
305,0.0,99,0.22544484629658051,84.3,99.0
306,60.0,99,0.22437031064284702,84.3,99.0
307,60.0,99,0.22330113425804463,84.0,99.0
308,60.0,99,0.22223729041270818,84.0,99.0
309,90.0,99,0.22117875251068608,84.0,99.0
310,60.0,99,0.22012549408847562,82.6,99.0
311,90.0,99,0.21907748881456146,82.6,99.0
312,60.0,99,0.21803471048875708,82.6,99.0
313,90.0,99,0.2169971330415501,82.0,99.0
314,60.0,99,0.21596473053345028,82.0,99.0
315,60.0,99,0.21493747715434114,82.0,99.0
316,120.0,99,0.21391534722283462,82.6,99.0
317,90.0,99,0.21289831518562935,82.3,99.0
318,90.0,99,0.2118863556168713,82.0,99.0
319,120.0,99,0.21087944321751864,82.6,99.0
320,90.0,99,0.20987755281470882,82.6,99.0
321,120.0,99,0.20888065936112976,82.3,99.0
322,90.0,99,0.20788873793439305,82.3,99.0
323,60.0,99,0.20690176373641142,82.3,99.0
324,120.0,99,0.2059197120927785,83.2,99.0
325,90.0,99,0.20494255845215212,82.7,99.0
326,60.0,99,0.20397027838564022,82.7,99.0
327,60.0,99,0.2030028475861907,82.7,99.0
328,120.0,99,0.20204024186798297,83.3,99.0
329,90.0,99,0.20108243716582408,82.4,99.0
330,90.0,99,0.20012940953454655,82.7,99.0
331,60.0,99,0.19918113514841002,82.7,99.0
332,60.0,99,0.1982375903005053,82.7,99.0
333,60.0,99,0.19729875140216221,82.4,99.0
334,180.0,99,0.1963645949823593,83.3,99.0
335,60.0,99,0.19543509768713746,83.3,99.0
336,60.0,99,0.19451023627901587,83.0,99.0
337,90.0,99,0.19358998763641116,82.3,99.0
338,60.0,99,0.19267432875305937,82.3,99.0
339,60.0,99,0.1917632367374407,81.7,99.0
340,60.0,99,0.19085668881220733,81.4,99.0
341,60.0,99,0.18995466231361383,81.4,99.0
342,120.0,99,0.1890571346909509,82.0,99.0
343,60.0,99,0.18816408350598107,80.8,99.0
344,90.0,99,0.1872754864323783,80.5,99.0
345,60.0,99,0.18639132125516944,80.5,99.0
346,60.0,99,0.18551156587017903,80.2,99.0
347,60.0,99,0.1846361982834766,80.2,99.0
348,60.0,99,0.1837651966108269,80.8,99.0
349,60.0,99,0.18289853907714276,80.8,99.0
350,60.0,99,0.1820362040159407,80.5,99.0
351,60.0,99,0.1811781698687992,79.6,99.0
352,60.0,99,0.18032441518482004,79.6,99.0
353,90.0,99,0.1794749186200915,79.9,99.0
354,60.0,99,0.17862965893715535,79.6,99.0
355,60.0,99,0.17778861500447538,79.6,99.0
356,120.0,99,0.17695176579590954,79.9,99.0
357,120.0,99,0.176119090390184,80.2,99.0
358,60.0,99,0.1752905679703703,79.6,99.0
359,60.0,99,0.17446617782336474,79.6,99.0
360,120.0,99,0.17364589933937066,80.2,99.0
361,150.0,99,0.17282971201138336,80.8,99.0
362,60.0,99,0.172017595434677,80.8,99.0
363,60.0,99,0.171209529306295,80.2,99.0
364,60.0,99,0.17040549342454195,79.9,99.0
365,60.0,99,0.169605467688479,80.2,99.0
366,60.0,99,0.16880943209742102,80.2,99.0
367,60.0,99,0.16801736675043685,80.2,99.0
368,90.0,99,0.16722925184585147,79.9,99.0
369,60.0,99,0.16644506768075132,79.6,99.0
370,60.0,99,0.16566479465049133,79.6,99.0
371,60.0,99,0.1648884132482052,79.3,99.0
372,120.0,99,0.1641159040643173,79.6,99.0
373,60.0,99,0.16334724778605797,79.3,99.0
374,60.0,99,0.1625824251969801,78.7,99.0
375,60.0,99,0.1618214171764792,78.7,99.0
376,60.0,99,0.161064204699315,78.4,99.0
377,60.0,99,0.16031076883513629,78.4,99.0
378,60.0,99,0.15956109074800714,78.1,99.0
379,60.0,99,0.15881515169593632,78.1,99.0
380,60.0,99,0.1580729330304087,78.1,99.0
381,60.0,99,0.15733441619591898,77.5,99.0
382,60.0,99,0.15659958272950783,77.5,99.0
383,60.0,99,0.15586841426030032,77.2,99.0
384,60.0,99,0.15514089250904667,77.2,99.0
