episode,reward,length,epsilon,moving_avg_reward,moving_avg_length
0,210.0,99,1.0,210.0,99.0
1,120.0,99,0.9803966865736877,165.0,99.0
2,90.0,99,0.9611815447608,140.0,99.0
3,90.0,99,0.9423468882484062,127.5,99.0
4,150.0,99,0.9238851829227694,132.0,99.0
5,100.0,99,0.9057890438555999,126.66666666666667,99.0
6,30.0,99,0.888051232349986,112.85714285714286,99.0
7,210.0,99,0.8706646530448178,125.0,99.0
8,30.0,99,0.8536223510765493,114.44444444444444,99.0
9,180.0,99,0.8369175092971592,121.0,99.0
10,90.0,99,0.820543445547202,118.18181818181819,99.0
11,90.0,99,0.8044936099828537,115.83333333333333,99.0
12,30.0,99,0.7887615824558878,109.23076923076923,99.0
13,180.0,99,0.7733410699455306,114.28571428571429,99.0
14,60.0,99,0.7582259040411682,110.66666666666667,99.0
15,90.0,99,0.7434100384749007,109.375,99.0
16,120.0,99,0.7288875467029541,110.0,99.0
17,30.0,99,0.7146526195349836,105.55555555555556,99.0
18,30.0,99,0.7006995628103208,101.57894736842105,99.0
19,120.0,99,0.6870227951202322,102.5,99.0
20,90.0,99,0.6736168455752829,101.9047619047619,99.0
21,150.0,99,0.6604763516169062,104.0909090909091,99.0
22,240.0,99,0.6475960568723099,110.0,99.0
23,120.0,99,0.6349708090518567,110.41666666666667,99.0
24,90.0,99,0.6225955578880794,109.6,99.0
25,30.0,99,0.6104653531155071,106.53846153846153,99.0
26,90.0,99,0.5985753424904924,105.92592592592592,99.0
27,90.0,99,0.5869207698502498,105.35714285714286,99.0
28,60.0,99,0.5754969732103268,103.79310344827586,99.0
29,60.0,99,0.564299382899748,102.33333333333333,99.0
30,90.0,99,0.5533235197330861,101.93548387096774,99.0
31,0.0,99,0.5425649932187278,98.75,99.0
32,30.0,99,0.5320194998026181,96.66666666666667,99.0
33,120.0,99,0.5216828211467822,97.3529411764706,99.0
34,250.0,99,0.5115508224419336,101.71428571428571,99.0
35,60.0,99,0.5016194507534953,100.55555555555556,99.0
36,30.0,99,0.491884733400372,98.64864864864865,99.0
37,120.0,99,0.48234277636582407,99.21052631578948,99.0
38,60.0,99,0.47298976273981014,98.2051282051282,99.0
39,60.0,99,0.4638219511921713,97.25,99.0
40,150.0,99,0.45483567447604933,98.53658536585365,99.0
41,0.0,99,0.44602733796093924,96.19047619047619,99.0
42,150.0,99,0.43739341819478894,97.44186046511628,99.0
43,120.0,99,0.4289304614945713,97.95454545454545,99.0
44,90.0,99,0.42063508256476556,97.77777777777777,99.0
45,120.0,99,0.4125039631431931,98.26086956521739,99.0
46,130.0,99,0.404533850673669,98.93617021276596,99.0
47,220.0,99,0.3967215570049359,101.45833333333333,99.0
48,90.0,99,0.3890639571153609,101.22448979591837,99.0
49,210.0,99,0.38155798786288553,103.4,99.0
50,40.0,99,0.3742006467597279,102.15686274509804,99.0
