episode,reward,length,epsilon,moving_avg_reward,moving_avg_length
36,100.0,99,0.7006995628103208,124.5945945945946,99.0
37,90.0,99,0.6938269873309811,123.6842105263158,99.0
38,30.0,99,0.6870227951202322,121.28205128205128,99.0
39,30.0,99,0.680286305753183,119.0,99.0
40,150.0,99,0.6736168455752829,119.7560975609756,99.0
41,60.0,99,0.6670137476349562,118.33333333333333,99.0
42,120.0,99,0.6604763516169062,118.37209302325581,99.0
43,120.0,99,0.6540040037760834,118.4090909090909,99.0
44,90.0,99,0.6475960568723099,117.77777777777777,99.0
45,120.0,99,0.6412518701055556,117.82608695652173,99.0
46,60.0,99,0.6349708090518567,116.59574468085107,99.0
47,60.0,99,0.6287522455998737,115.41666666666667,99.0
48,70.0,99,0.6225955578880794,114.48979591836735,99.0
49,90.0,99,0.616500130242572,114.0,99.0
50,30.0,99,0.6104653531155071,112.3529411764706,99.0
51,60.0,99,0.6044906230241432,111.34615384615384,99.0
52,150.0,99,0.5985753424904924,112.0754716981132,99.0
53,150.0,99,0.5927189199815717,112.77777777777777,99.0
54,30.0,99,0.5869207698502498,111.27272727272727,99.0
55,60.0,99,0.5811803122766818,110.35714285714286,99.0
56,150.0,99,0.5754969732103268,111.05263157894737,99.0
57,150.0,99,0.5698701843125418,111.72413793103448,99.0
58,0.0,99,0.564299382899748,109.83050847457628,99.0
59,60.0,99,0.558784011887162,109.0,99.0
60,230.0,99,0.5533235197330861,110.98360655737704,99.0
61,30.0,99,0.5479173603837548,109.6774193548387,99.0
62,60.0,99,0.5425649932187278,108.88888888888889,99.0
63,90.0,99,0.5372658829968282,108.59375,99.0
64,90.0,99,0.5320194998026181,108.3076923076923,99.0
65,30.0,99,0.5268253189934059,107.12121212121212,99.0
66,60.0,99,0.5216828211467822,106.41791044776119,99.0
67,210.0,99,0.516591492008677,107.94117647058823,99.0
68,120.0,99,0.5115508224419336,108.1159420289855,99.0
69,120.0,99,0.5065603083753949,108.28571428571429,99.0
70,60.0,99,0.5016194507534953,107.6056338028169,99.0
71,90.0,99,0.49672775548635545,107.36111111111111,99.0
72,60.0,99,0.491884733400372,106.71232876712328,99.0
73,60.0,99,0.48708990018930043,106.08108108108108,99.0
74,30.0,99,0.48234277636582407,105.06666666666666,99.0
75,60.0,99,0.47764288721360454,104.47368421052632,99.0
76,90.0,99,0.47298976273981014,104.28571428571429,99.0
77,100.0,99,0.4683829376281158,104.23076923076923,99.0
78,60.0,99,0.4638219511921713,103.67088607594937,99.0
79,150.0,99,0.45930634732953224,104.25,99.0
80,60.0,99,0.45483567447604933,103.70370370370371,99.0
81,150.0,99,0.4504094855607117,104.26829268292683,99.0
82,120.0,99,0.44602733796093924,104.4578313253012,99.0
83,60.0,99,0.4416887934583202,103.92857142857143,99.0
84,120.0,99,0.43739341819478894,104.11764705882354,99.0
85,90.0,99,0.4331407826292394,103.95348837209302,99.0
86,90.0,99,0.4289304614945713,103.79310344827586,99.0
87,90.0,99,0.42476203375516264,103.63636363636364,99.0
88,120.0,99,0.42063508256476556,103.82022471910112,99.0
89,60.0,99,0.41654919522482203,103.33333333333333,99.0
90,90.0,99,0.4125039631431931,103.18681318681318,99.0
91,90.0,99,0.40849898179329963,103.04347826086956,99.0
92,30.0,99,0.404533850673669,102.25806451612904,99.0
93,90.0,99,0.40060817326788506,102.12765957446808,99.0
94,90.0,99,0.3967215570049359,102.0,99.0
95,120.0,99,0.3928736132199562,102.1875,99.0
96,120.0,99,0.3890639571153609,102.37113402061856,99.0
97,90.0,99,0.38529220772236483,102.24489795918367,99.0
98,90.0,99,0.38155798786288553,102.12121212121212,99.0
99,90.0,99,0.37786092411182526,102.0,99.0
100,120.0,99,0.3742006467597279,101.4,99.0
101,120.0,99,0.3705767897758081,100.2,99.0
102,60.0,99,0.3669889907713475,100.2,99.0
103,60.0,99,0.36343689096345594,98.7,99.0
104,90.0,99,0.35992013513919235,98.1,99.0
105,120.0,99,0.35643837162004377,98.1,99.0
106,60.0,99,0.3529912522267568,97.0,99.0
107,30.0,99,0.34957843224451957,95.2,99.0
108,60.0,99,0.34619957038848975,94.3,99.0
109,60.0,99,0.342854328769666,94.6,99.0
110,60.0,99,0.3395423728610988,94.3,99.0
111,60.0,99,0.33626337146443713,94.3,99.0
112,160.0,99,0.33301699667680906,95.6,99.0
113,60.0,99,0.3298029238580304,95.6,99.0
114,150.0,99,0.3266208315981408,96.5,99.0
115,130.0,99,0.32347040168526264,97.2,99.0
116,60.0,99,0.3203513190737793,96.6,99.0
117,100.0,99,0.3172632718528302,95.0,99.0
118,100.0,99,0.31420595121511996,92.5,99.0
119,60.0,99,0.311179051426037,92.5,99.0
120,120.0,99,0.30818226979308005,93.1,99.0
121,60.0,99,0.3052153066355885,91.9,99.0
122,90.0,99,0.30227786525477407,91.0,99.0
123,60.0,99,0.29936965190405085,89.8,99.0
124,60.0,99,0.29649037575966014,89.8,99.0
125,60.0,99,0.29363974889158817,88.6,99.0
126,120.0,99,0.2908174862347727,89.4,99.0
127,90.0,99,0.28802330556059597,88.9,99.0
128,60.0,99,0.2852569274486622,87.6,99.0
129,90.0,99,0.2825180752588548,87.9,99.0
130,60.0,99,0.27980647510367246,87.3,99.0
131,60.0,99,0.2771218558208399,86.1,99.0
132,60.0,99,0.27446394894619186,86.1,99.0
133,120.0,99,0.27183248868682575,87.3,99.0
134,60.0,99,0.26922721189452276,86.1,99.0
135,150.0,99,0.2666478580394326,87.3,99.0
136,150.0,99,0.26409416918402034,87.8,99.0
137,90.0,99,0.26156588995727226,87.8,99.0
138,60.0,99,0.2590627675291589,88.1,99.0
139,60.0,99,0.2565845515853515,88.4,99.0
140,120.0,99,0.2541309943021904,88.1,99.0
141,60.0,99,0.25170185032190273,88.1,99.0
142,60.0,99,0.24929687672806608,87.5,99.0
143,60.0,99,0.246915833021317,86.9,99.0
144,60.0,99,0.24455848109530054,86.6,99.0
145,120.0,99,0.2422245852128597,86.6,99.0
146,60.0,99,0.23991391198246126,86.6,99.0
147,260.0,99,0.2376262303348566,88.6,99.0
148,120.0,99,0.2353613114999746,89.1,99.0
149,90.0,99,0.23311892898404435,89.1,99.0
150,60.0,99,0.23089885854694553,89.4,99.0
151,60.0,99,0.22870087817978443,89.4,99.0
152,90.0,99,0.22652476808269262,88.8,99.0
153,90.0,99,0.22437031064284702,88.2,99.0
154,120.0,99,0.22223729041270818,89.1,99.0
155,90.0,99,0.22012549408847562,89.4,99.0
156,90.0,99,0.21803471048875708,88.8,99.0
157,90.0,99,0.21596473053345028,88.2,99.0
158,90.0,99,0.21391534722283462,89.1,99.0
159,60.0,99,0.2118863556168713,89.1,99.0
160,90.0,99,0.20987755281470882,87.7,99.0
161,60.0,99,0.20788873793439305,88.0,99.0
162,60.0,99,0.2059197120927785,88.0,99.0
163,90.0,99,0.20397027838564022,88.0,99.0
164,90.0,99,0.20204024186798297,88.0,99.0
165,60.0,99,0.20012940953454655,88.3,99.0
166,60.0,99,0.1982375903005053,88.3,99.0
167,120.0,99,0.1963645949823593,87.4,99.0
168,90.0,99,0.19451023627901587,87.1,99.0
169,90.0,99,0.19267432875305937,86.8,99.0
170,180.0,99,0.19085668881220733,88.0,99.0
171,100.0,99,0.1890571346909509,88.1,99.0
172,60.0,99,0.1872754864323783,88.1,99.0
173,60.0,99,0.18551156587017903,88.1,99.0
174,60.0,99,0.1837651966108269,88.4,99.0
175,60.0,99,0.1820362040159407,88.4,99.0
176,60.0,99,0.18032441518482004,88.1,99.0
177,60.0,99,0.17862965893715535,87.7,99.0
178,120.0,99,0.17695176579590954,88.3,99.0
179,60.0,99,0.1752905679703703,87.4,99.0
180,60.0,99,0.17364589933937066,87.4,99.0
181,60.0,99,0.172017595434677,86.5,99.0
182,160.0,99,0.17040549342454195,86.9,99.0
183,120.0,99,0.16880943209742102,87.5,99.0
184,60.0,99,0.16722925184585147,86.9,99.0
185,90.0,99,0.16566479465049133,86.9,99.0
186,30.0,99,0.1641159040643173,86.3,99.0
187,120.0,99,0.1625824251969801,86.6,99.0
188,60.0,99,0.161064204699315,86.0,99.0
189,120.0,99,0.15956109074800714,86.6,99.0
190,90.0,99,0.1580729330304087,86.6,99.0
191,120.0,99,0.15659958272950783,86.9,99.0
192,120.0,99,0.15514089250904667,87.8,99.0
193,60.0,99,0.1536967164987875,87.5,99.0
194,90.0,99,0.1522669102799259,87.5,99.0
195,90.0,99,0.15085133087064845,87.2,99.0
196,120.0,99,0.14944983671183457,87.2,99.0
197,60.0,99,0.14806228765290044,86.9,99.0
198,60.0,99,0.1466885449377839,86.6,99.0
199,60.0,99,0.14532847119106862,86.3,99.0
200,60.0,99,0.1439819304042466,85.7,99.0
201,90.0,99,0.14264878792211688,85.4,99.0
202,60.0,99,0.1413289104293205,85.4,99.0
203,120.0,99,0.14002216593700811,86.0,99.0
204,60.0,99,0.13872842376964165,85.7,99.0
205,60.0,99,0.1374475545519262,85.1,99.0
206,90.0,99,0.13617943019587256,85.4,99.0
207,120.0,99,0.13492392388798838,86.3,99.0
208,60.0,99,0.13368091007659658,86.3,99.0
209,60.0,99,0.1324502644592803,86.3,99.0
210,60.0,99,0.13123186397045208,86.3,99.0
211,120.0,99,0.13002558676904785,86.9,99.0
212,60.0,99,0.12883131222634217,85.9,99.0
213,60.0,99,0.12764892091388555,85.9,99.0
214,60.0,99,0.1264782945915614,85.0,99.0
215,60.0,99,0.125319316195762,84.3,99.0
216,120.0,99,0.12417186982768189,84.9,99.0
217,60.0,99,0.12303584074172813,84.5,99.0
218,120.0,99,0.12191111533404535,84.7,99.0
219,120.0,99,0.12079758113115559,85.3,99.0
220,60.0,99,0.11969512677871053,84.7,99.0
221,60.0,99,0.11860364203035628,84.7,99.0
222,120.0,99,0.11752301773670837,85.0,99.0
223,90.0,99,0.116453145834437,85.3,99.0
224,60.0,99,0.11539391933546027,85.3,99.0
225,60.0,99,0.11434523231624569,85.3,99.0
226,60.0,99,0.11330697990721733,84.7,99.0
227,120.0,99,0.1122790582822692,85.0,99.0
228,90.0,99,0.11126136464838206,85.3,99.0
229,60.0,99,0.11025379723534455,85.0,99.0
230,60.0,99,0.10925625528557566,85.0,99.0
231,60.0,99,0.1082686390440492,85.0,99.0
232,60.0,99,0.10729084974831793,85.0,99.0
233,60.0,99,0.10632278961863742,84.4,99.0
234,60.0,99,0.10536436184818809,84.4,99.0
235,60.0,99,0.10441547059339411,83.5,99.0
236,60.0,99,0.10347602096433932,82.6,99.0
237,120.0,99,0.10254591901527788,82.9,99.0
238,60.0,99,0.10162507173523985,82.9,99.0
239,60.0,99,0.10071338703872978,82.9,99.0
240,90.0,99,0.09981077375651838,82.6,99.0
241,60.0,99,0.09891714162652515,82.6,99.0
242,120.0,99,0.09803240128479247,83.2,99.0
243,60.0,99,0.09715646425654882,83.2,99.0
244,90.0,99,0.09628924294736148,83.5,99.0
245,60.0,99,0.09543065063437678,82.9,99.0
246,90.0,99,0.09458060145764802,83.2,99.0
247,90.0,99,0.09373901041154904,81.5,99.0
248,160.0,99,0.092905793336274,81.9,99.0
249,60.0,99,0.09208086690942092,81.6,99.0
250,60.0,99,0.0912641486376598,81.6,99.0
251,60.0,99,0.09045555684848275,81.6,99.0
252,60.0,99,0.0896550106820371,81.3,99.0
253,60.0,99,0.08886243008303903,81.0,99.0
